description_id,sentence,cluster,cluster_type,n_tokens
4,It allows you to investigate how computers work and how they are used.,16,content,14
4,"Computer Science underpins a great deal of what we do and understanding this will enable you to study a wide variety of subjects, including Computer Science, in the future.",22,motivation,32
4,What skills will I develop and what will I study?,0,motivation,11
4,You will learn to work independently and as part of a team.,14,transferrable,13
4,You will develop critical thinking skills and how to analyse problems.,14,transferrable,12
4,This will enable you to solve problems using real life examples.,8,content,12
4,You will develop computer programming skills and learn to apply these to the problems you have been given.,21,content,19
4,You will develop written and oral communication skills that are essential to communicating with a wide range of audiences and for different purposes.,14,transferrable,24
4,There is a balance between theory and practical work.,13,transferrable,10
4,"Through the Computer Systems unit you will learn about systems architecture, memory and storage, computer networks, connections and protocols, network security, system software and ethical, legal, cultural and environmental impacts of digital technology.",4,content,41
4,How will I be assessed?,9,logistics,6
4,Computer Science is 100% externally assessed.,22,motivation,8
4,Pupils also complete a programming project to apply their knowledge and understanding practically.,20,content,14
4,What are the post-16 opportunities?,2,motivation,7
4,"Pupils achieving a good grade at GCSE could choose to study A level Computer Science or ICT, BTEC courses and a wide variety of specialist courses including game design or app creation.",1,motivation,34
4,"This could lead to a career within computer science, computer aided design, programming, engineering, electrical engineering, IT or applied science.",2,motivation,26
4,"This could be as a software developer, systems analyst, computer games tester, web designer, electrician, IT security coordinator, social media manager, medical illustrator, computer games developer, project manager or technician.",2,motivation,40
5,What you will cover:,12,logistics,5
5,"GCSE in Computer Science encourages students to understand and apply the fundamental principles and concepts of computer science, including abstraction, decomposition, and logic, algorithms, and data representation.",1,motivation,33
5,"Students will also analyse problems in computational terms through practical experience of solving such problems, including designing, writing and debugging programs to do so.",8,content,27
5,Students will also learn about the impact of digital technology to the individual and to wider society.,19,motivation,18
5,The course is broken up into two components –,12,logistics,9
5,Computer Systems 50% Component,4,content,5
5,"2 - Computational thinking, algorithms and programming 50%",7,logistics,10
5,Why choose this subject:,0,motivation,5
5,This course will build upon an understanding of the rules of language at a fundamental level.,12,logistics,17
5,It aims to foster an awareness of the management and organisation of computer systems; it extends our students’ horizons beyond the school environment in the appreciation of the effects of computer science on society and individuals.,22,motivation,39
5,This subject is worth one GCSE grade.,1,motivation,8
5,Students achieving grade 5 or above will be able to access computer science at AS and A level.,23,motivation,19
5,"In addition, this course provides a coherent, satisfying and worthwhile course of study for students who do not progress to further study in this subject.",12,logistics,28
5,"Computer sciences and IT skills can be applied to almost any sector (Finance, Public sector, Telecommunications, Web content, Media and consumer markets, Business analyst) and almost all companies require highly computer-literate employees.",23,motivation,42
5,"Everything is covered, from glamorous careers in computer game development, intelligence services, to working in IT departments helping employees when they run into software and hardware problems",2,motivation,30
6,This course is challenging and suitable for students who are currently achieving a high level in their year 9 computer science work.,21,content,23
6,"If you are interested in taking this course it is important that you talk to Mr Farrance, Head of Computer Science or your subject teacher as this course has some very specific entry require- ments that you need to meet.",21,content,43
6,Assessment: You will sit two formal examinations (90 Mins each) that have equal weightings towards your final grade.,10,logistics,22
6,J277 Component 1: Computer systems (50%) 1hr 30mins Exam,4,content,15
6,"This component will assess: 1.1 Systems architecture 1.2 Memory and storage 1.3 Computer networks, connections and protocols 1.4 Network security 1.5 Systems software 1.6 Ethical, legal, cultural and environmental impacts of digital technology J277 Component 2: computational thinking (50%) 1hr 30mins Exam",4,content,51
6,This component will assess: 2.1 Algorithms 2.2 Programming fundamentals 2.3 Producing robust programs 2.4 Boolean logic 2.5 Programming languages and Integrated Development Environments Component 3: Practical Programming,8,content,29
6,"All students must be given the opportunity to undertake a programming task(s), either to a specification or to solve a problem (or problems), during their course of study.",20,content,36
6,Students may draw on some of the content in both components when engaged in Practical Pro- gramming.,20,content,19
6,*Entry requirements:,12,logistics,4
6,"Students should have a GCSE target grade of 6 in Mathematics and English and be working at least at ‘expected performance’ in Computer Science, Maths and English to be accepted on the Computer Science course.",1,motivation,39
6,Where a student has a target grade lower than this an assess- ment of current ability will be undertaken to determine a student’s suitability to study the chosen subject.,9,logistics,32
7,What is GCSE Computer Science? •,1,motivation,7
7,"This course gives you a real, in-depth understanding of how computer technology works.",16,content,17
7,"The course will give you an insight into what goes on ‘behind the scenes’, including computer pro- gramming, which many students find absorbing.",16,content,29
7,Why should I choose Computer Science? •,22,motivation,8
7,The course provides excellent preparation for higher study and employment in the field of computer science. •,21,content,18
7,The increasing importance of information technologies means there will be a growing demand for professionals who are qualified in this area. •,17,motivation,23
7,"You need to have a lively and inquiring mind, an interest in computing, a willingness to explore new ideas and an ability to communicate your ideas effectively. •",23,motivation,31
7,"The course will develop critical thinking, analysis and problem solving skills through the study of computer programming, giving you a fun and interesting way to develop these skills.",21,content,31
7,What will I do in Computer Science? •,23,motivation,9
7,Develop your understanding of current and emerging technologies and how they work. •,19,motivation,14
7,Look at the use of algorithms in computer programs. •,6,content,11
7,Understand the use of implications of different technologies.,19,motivation,9
7,"Acquire and apply creative and technical skills, knowledge and understanding of computer technology in a range of contexts. •",23,motivation,21
7,Develop computer programs to solve problems.,8,content,7
7,"Evaluate the effectiveness of computer programs/solutions and the impact of, and issues related to, the use of computer technology in society.",18,motivation,26
7,What Coursework will I have to do? •,12,logistics,9
7,How will I be assessed? •,9,logistics,7
7,"Computational Thinking, Algorithms and Programming.",8,content,7
7,What are the important deadlines in this course?,12,logistics,9
7,Exams Summer Year 1,9,logistics,4
8,"CAREER PATHWAYS: Computer Programmer, Web Developer, App Developer, IT Technician, Network Manager, Systems Analyst, Database Administrator, User Experience Designer, Computer Scientist, Software Engineer, It Security Specialist, Ethical Hacker, Data Scientist, Cloud System Engineer.",2,motivation,48
8,GET IN TOUCH: tjames-hammond@chiltern-academy.co.uk INSPIRE MINDS BY: •,15,transferrable,10
8,Providing learners with an awareness of real world computational challenges that are faced by organisations and individuals. •,21,content,19
8,During Computer Science lessons pupils learn problem solving skills that are transferable across all STEM subjects. •,22,motivation,18
8,"Lessons are fun and engaging and are simple to start, interesting and then allow for immersive mastery of each topic. •",12,logistics,23
8,Pupils learn how computers work and how information is shared through computer networks and the internet. •,16,content,18
8,"Python and computer programming best practices are studied and pupils are invited to deep dive, conjecture and form hypotheses with regards to emerging technologies.",21,content,26
8,BUILD FUTURES BY: •,12,logistics,5
8,Allowing pupils to learn how to write computer programs to complete a range of tasks such as web apps or the control of motorised equipment. •,21,content,27
8,The skills that pupils will learn in Computer Science are sought after and are transferable to any STEM subject. •,22,motivation,21
8,"Lessons are a mix of theoretical and practical sessions allowing pupils to develop their knowledge and skills in programming, networking, hardware, computer security and other computer based topics.",16,content,32
8,Luton has historically been (and continues to be) a busy employment market for the versatile Computer Science skillset.,17,motivation,21
8,FULL COURSE SPECIFICATION AND DETAILS CAN BE FOUND HERE: GCSE Computer Science,1,motivation,13
9,Computer Science is an important subject because it underpins many careers and teaches many life- skills which are invaluable to all.,22,motivation,23
9,Who is it for?,11,motivation,5
9,GCSE Computer Science is a highly recognised qualification that teaches logical and computational thinking through an introduction to computer programming.,1,motivation,21
9,It is a highly transferrable skill and is sought after by employers due to the problem solving and thinking skills it teaches.,14,transferrable,23
9,"In a highly competitive job market, this course will give you a critical advantage over your peers, demonstrating an ability to create software, solve problems creatively and high level thinking skills.",23,motivation,35
9,What will I study?,0,motivation,5
9,Computer Science offers students the opportunity to develop one of the key skills that industry is crying out for – creative problem solving.,22,motivation,24
9,"Through computer programming, using Python, students will learn to think logically to solve problems.",21,content,17
9,"The course also takes students through computational thinking, algorithms and problem solving as well as theoretical knowledge of computer science.",21,content,22
9,How will I study?,0,motivation,5
9,"You will be taught using a mixture of: teacher-led theory lessons, small, bite-sized projects, individual and group work, culminating in the building of revision materials, short and long end of topic assessments and a number of classroom activities.",12,logistics,49
9,What exams are there?,9,logistics,5
9,GCSE Computer Science has two written exams of 1 hour 30 minutes each.,10,logistics,14
9,Each paper carries 80 marks and each exam is worth 50% towards the final grade.,10,logistics,17
9,Paper 1 is an assessment on computer systems:,4,content,9
9,"Systems architecture, memory and storage, computer networks, connections and protocols, network security, systems software and the ethical, legal, cultural and environmental impacts of digital technology.",3,content,33
9,"Paper 2 is an assessment on computational thinking, algorithms and programming.",7,logistics,13
9,"Both are a mix of multiple choice, short answer, longer answered and extended response questions.",12,logistics,18
9,"Students are also given the opportunity to undertake programming tasks, either to a specification or to solve a problem (or problems), during the course of study.",20,content,31
9,Career Information Candidates achieving GCSE Computer Science have an industry recognised qualification and are ready to go on to employment or further study in Computing at A Level and beyond.,1,motivation,31
9,"In the modern world, the need to understand how to create new systems and programs is increasingly important irrespective of your chosen career",14,transferrable,24
10,Brief outline of the course:,12,logistics,6
10,"The Computer Science qualification will, above all else, be relevant to the modern and changing world in which we live.",22,motivation,23
10,The computing course helps students decompose problems into their constituent parts so that solutions can be applied using text-based programming methods and algorithms.,21,content,26
10,"The mental gymnastics that this involves, is extremely useful across the curriculum when facing exam questions and project work (particularly if they are thinking of moving on to A-Level courses).",15,transferrable,36
10,"Greater understanding of hardware, software, network topologies, binary mathematics and problem solving in general presents challenges and sharpens highly sought-after skills.",21,content,27
10,"Technology and computer skills are one of the fastest growing and largest employment sectors in the UK, if not the global market and thereby job prospects in this area can be lucrative and more prevalent.",17,motivation,37
10,Subject Content: Component 01 – Computer Systems,4,content,8
10,The first component is an exam focused on computer systems covering the physical elements of computer science and the associated theory.,4,content,22
10,"Networks, CPU components, Storage and Memory devices etc.",4,content,11
10,Duration 1hr 30mins.,10,logistics,5
10,"Weighting 50% Component 02 – Computational Thinking, Algorithms and Programming.",7,logistics,13
10,This component is focused on the core theory of computer science and the application of computer science principles.,5,content,19
10,"E.g. Algorithms, Python programs and Problem Solving Duration 1hr 30mins Weighting 50% Component 03 – Programming Project (non-exam assessment).",20,content,27
10,Candidates are challenged by a range of tasks that require problem solving and report writing skills.,15,transferrable,17
10,Many of which will occur in their Component 02 exam.,9,logistics,11
10,Teaching and Learning styles involved: •,12,logistics,7
10,Logic Problems and Problem Decomposition •,6,content,6
10,Online/web-based training •,20,content,7
10,"Mix of theory-based lessons, which are teacher led. •",12,logistics,13
10,Self-assessment/peer assessment •,9,logistics,6
10,Feedback from controlled assessment and written work •,9,logistics,8
10,Review and reflection Assessment methods: •,9,logistics,7
10,End of topic assessments •,12,logistics,5
10,Individual target setting •,12,logistics,4
10,Practical challenges to develop and test independence •,9,logistics,8
10,Student self-assessment using checklists Examination Level: Examination Board: OCR GCSE Grades 9-1 Details of exam components:,9,logistics,23
10,"Component 1 Computer systems - 1 hour 30 minute examination Component 2 - Computational Thinking, Algorithms and Programming - 1 hour 30 minute examination",7,logistics,25
10,To be taken at the end of Year 11 How is ICT used:,17,motivation,14
10,Computers are used 90% of the time but there are also physical “unplugged” challenges used to also help develop computational thinking skills.,22,motivation,26
10,Any special requirements:,12,logistics,4
10,A very good understanding of mathematical concepts and independent learning will be both helpful and nurtured at the same time.,14,transferrable,21
10,"Access to a PC, that has Python installed, at home is ideal but there is also plenty of availability after school as well",21,content,25
11,"""Qualification Type GCSE Examination Board OCR GCSE Computer Science is for all students who wish to understand the deeper workings of a computer.",1,motivation,25
11,Computing is at the forefront of almost every company and business.,18,motivation,12
11,Being able to understand how computers work with the knowledge of how to program them will give you a head start to everyone else.,22,motivation,25
11,What is the course like and what will be studied,12,logistics,10
11,This course builds on knowledge and understanding from KS3 units of study.,12,logistics,13
11,Students will continue to develop their understanding of computer science and knowledge of computer programming.,21,content,16
11,"Within the course students will use and develop a number of skills, such as logic and reasoning that they will be able to use across other GCSE subjects and take with them into higher education.",1,motivation,37
11,"Component 01: Computer systems Introduces students to the central processing unit (CPU), computer memory and storage, data representation, wired and wireless networks, network topologies, system security and system software.",4,content,38
11,"It also looks at ethical, legal, cultural and environmental concerns associated with computer science.",16,content,17
11,"Component 02: Computational thinking, algorithms and programming Students apply knowledge and understanding gained in component 01.",7,logistics,19
11,"They develop skills and understanding in computational thinking: algorithms, programming techniques, producing robust programs, computational logic and translators.",8,content,23
11,"Practical programming Students are to be given the opportunity to undertake a programming task(s) during their course of study which allows them to develop their skills to design, write, test and refine programs using a high-level programming language.",20,content,46
11,"Students will be assessed on these skills during the written examinations, in particular component 02 (section B).",9,logistics,21
11,"How will the course be assessed Paper 1 - Computer Systems - 1 hour 30 min’s Exam - 50% Paper 2 - Computational thinking, algorithms and programming - 1 hour 30 min’s Exam - 50% Future Options With taking GCSE Computer science students will be able to transition seamlessly into Computer Science at AS Level and/or A Level.",7,logistics,66
11,This GCSE course will enable students to develop valuable thinking and programming skills that are extremely attractive in the modern workplace and gain a deep understanding of computational thinking and how to apply it through a chosen programming language.,1,motivation,40
12,"A friendly, supportive and creative learning environment.",15,transferrable,9
12,Dedicated air conditioned computer suites with interactive whiteboards and specialist software.,4,content,12
12,An inclusive approach to teaching and learning where all students will feel valued.,15,transferrable,14
12,High expectations of all students.,15,transferrable,6
12,A wide variety of course options allowing students to tailor their education to meet their own requirements.,12,logistics,18
12,Opportunities to learn outside of the classroom including trips to the National Computing Museum.,23,motivation,15
12,Specialist teachers with a proven passion for delivering skills pertinent for many years down the line.,14,transferrable,17
12,Lunchtime and after-school clubs in application development and robotics.,12,logistics,12
12,Curriculum Support Technology is ubiquitous in our modern society.,17,motivation,10
12,"Everything from mobile phones, televisions, traffic lights, theme parks, agriculture to sport depend on technology.",19,motivation,20
12,You need to be prepared for the digital world.,19,motivation,10
12,The computing syllabus will give you an in-depth understanding of how computer technology works and a look at what goes on ‘behind the scenes’.,16,content,29
12,"As part of this, a large amount of the course will be spent learning computer programming.",21,content,18
12,"Through this study of computer programming, the course will help you develop critical thinking, analysis and problem solving skills.",21,content,22
12,"For many, it will be a fun and interesting way to develop these skills, which can be transferred to other subjects, especially mathematics and other sciences, and even applied in day-to-day life.",14,transferrable,41
12,It is a fact that information technologies continue to have a growing importance.,19,motivation,14
12,This means there will be a bigger demand for professionals who are qualified in this area.,2,motivation,17
12,"If you want to go on to higher study and employment in the field of computer science, you will find that this course provides a superb stepping stone.",21,content,30
12,Students who have taken a Computing GCSE and who then progress to study the subject at A Level or university will have a sound underpinning knowledge of this area.,1,motivation,30
12,We offer Computer Science at both KS4 and KS5.,23,motivation,10
13,Two courses are offered to enable students to explore different aspects of ICT and Computing.,23,motivation,16
13,"This new exciting course gives learners the opportunity to investigate and gain an in-depth understanding into how computers work, and how they are used.",16,content,28
13,"This course offers learners the opportunity to study a diverse range of media topics, including video editing, camera operation, Sound editing, graphic design and media production.",14,transferrable,31
13,"Please note, this course is for the beginner to intermediate students and is suitable for those who have no experience in the field of media production.",14,transferrable,28
14,Computing and ICT The creative study and use of both Computing and ICT at Brimsham Green aims to provide pupils with a high quality of learning and achievement at all levels in: •,23,motivation,34
14,"The ability to critically evaluate and assimilate the information they encounter, particularly through sources such as the internet •",16,content,20
14,An appreciation of the role that computing and IT plays in the world around them. •,18,motivation,17
14,"An understanding of the need to practice e-safety when using IT resources, particularly online. •",3,content,17
14,The role computing and ICT plays in businesses •,17,motivation,9
14,To reinforce a cross-curricular approach to computing and ICT - students should encounter both in a wide range of contexts and not exclusively through the study of computing itself •,23,motivation,30
14,"To emphasise access - Children should have frequent access to ICT tools and have adequate opportunity to use these tools when it is appropriate to do so The study of computer science, at all key stages, encourages students to develop an appreciation and understanding of the impact that developments in information technology have on themselves, communities worldwide, and the future.",22,motivation,65
14,It also helps emphasizes the growing importance attributed to the communication aspects of new technologies which students are so keen to engage with nowadays.,19,motivation,25
14,"Consequently, studying computer science and ICT will contribute in a significant way to the general education of pupils, whether or not they intend proceeding to further studies or employment specific to information technology.",23,motivation,36
15,Over 2 years learners will be encouraged to: •,12,logistics,10
15,"Understand and apply the fundamental principles and concepts of Computer Science, including abstraction, decomposition, logic, algorithms, and data representation •",5,content,25
15,"Analyse problems in computational terms through practical experience of solving such problems, including designing, writing and debugging programs •",8,content,21
15,"Think creatively, innovatively, analytically, logically and critically •",13,transferrable,11
15,"Understand the components that make up digital systems, and how they communicate with one another and with other systems •",4,content,21
15,Understand the impacts of digital technology to the individual and to wider society •,19,motivation,14
15,Apply mathematical skills relevant to Computer Science,21,content,7
16,At KS4 students are given the option to choose GCSE Computing if they wish to continue their studies in this subject.,1,motivation,22
17,"The Pearson BTEC Tech Award in Digital Information Technology is for students who want to acquire technical knowledge and technical skills through vocational contexts by studying the knowledge, understanding and skills related to data management, data interpretation, data presentation and data protection as part of their Key Stage 4 learning.",23,motivation,54
17,The qualification will broaden the learners’ experience and understanding of the varied progression options available to them,12,logistics,18
18,COMPUTER SCIENCE GCSE Examination Board: OCR (Syllabus Number J277),1,motivation,12
18,Why should I pick this and what will I study?,0,motivation,11
18,This qualification has been created to get students working with real-world programming and provides a good understanding of the fundamental principles of computing.,21,content,25
18,Employers are increasingly looking to recruit programmers who are proficient in the Python programming language which we use here at Beauchamps to deliver the course.,21,content,26
18,The syllabus been designed to assess candidates’ achievement through external exams.,9,logistics,13
18,"The areas covered by the external exam are: System Architecture Memory and Storage Computer Networks, connections and protocols Network Security System Software Ethical, Legal, Cultural and Environment impact of Digital Technology Algorithms Programming Fundamentals Producing Robust Programs Boolean Logic Programming Languages and Integrated Development Environments",5,content,49
19,"Years 10, 11 QUALIFICATION: Creative iMedia Level 1/2 Certificate AWARDING BODY: OCR Cambridge National",10,logistics,17
19,What will I learn?,0,motivation,5
19,You will learn about how to plan preproduction effectively and use this knowledge in the optional units when you develop your own media products.,14,transferrable,25
19,"You will learn the basics of digital graphics editing for the creative and digital media sector, considering client requirements.",14,transferrable,21
19,"You will follow a client brief to plan and create a digital animation using appropriate animation, and then review the final product.",14,transferrable,24
19,How will I learn?,0,motivation,5
19,"You will participate in a variety of learning approaches including problem solving, hands-on computer access and responding to individual assessment feedback.",12,logistics,25
19,"You will also learn through whole class discussion, paired work and individual practice.",12,logistics,15
19,How will I be assessed?,9,logistics,6
19,Mandatory Units R081 –,12,logistics,4
19,"Pre Production Skills Written paper, 1 hour 15 minutes –",10,logistics,11
19,"60 Marks R082 – Creating Digital Graphics Centre assessed task, OCR moderated –",10,logistics,14
19,"60 Marks R086: Creating a digital animation Centre assessed task, OCR moderated –",10,logistics,15
19,60 Marks R087:,10,logistics,4
19,Creating interactive multimedia products Centre assessed task –,11,motivation,8
19,60 Marks Possible Careers/Future Pathways:,2,motivation,8
19,This qualification’s hands-on approach has strong relevance to the way young people use the technology required in creative media and prepares students for studying ICT at A-Level and the workplace.,23,motivation,36
19,"The ability to analyse and design systems that are used in the workplace, the ability to see relationships and the broader perspective will all be important and marketable skills for future employment.",14,transferrable,34
20,"Component 1: Computer Systems Component 2: Computational thinking, algorithms and programming Programming Project",7,logistics,16
21,Exam Board: OCR Subject Leader:,10,logistics,7
21,Mr Kolawole Entry Requirement: Grade 6 or better,12,logistics,9
21,What is the subject about?,0,motivation,6
21,Computer Science GCSE inspires students to engage with developments in technology with topics ranging from computer communications and networking to application development.,1,motivation,23
21,"Computer Science encourages learners to: • understand Computer Science - abstraction, decomposition, logic, algorithms, and data representation •",5,content,23
21,"analyse and solve computational problems, including designing, writing and debugging programs •",8,content,14
21,"think creatively, innovatively, analytically, logically and critically •",13,transferrable,11
21,apply mathematical skills relevant to Computer Science.,21,content,8
21,Where will this qualification take me?,12,logistics,7
21,Computer Science prepares students for a varied future in technology from working with drones and driverless cars to programming and data analysis.,22,motivation,23
21,"The GCSE also develops an understanding of the A level and university degree course, opening up a vast array of exciting technical careers in fields that are still emerging.",1,motivation,31
21,Many traditional jobs are being replaced by jobs that require automation based on Computer technology.,17,motivation,16
21,There are no limits to what the future holds for Computer Scientists.,17,motivation,13
21,This is a cutting edge qualification.,12,logistics,7
21,Course Components: Computer systems (50%) •,4,content,10
21,"Systems Architecture, Memory & Storage •",4,content,7
21,Wired and wireless networks •,3,content,5
21,"Networks, System security & System software •",3,content,8
21,"Ethical, legal, cultural and environmental concerns Computational thinking, algorithms & programming (50%) •",7,logistics,19
21,Producing robust programs •,8,content,4
22,30 GCSE Computer Science,1,motivation,4
22,"Exam Board: OCR Grade: 9-1 This is the study of the theory, and practical that forms the basis for the design and use of computers.",1,motivation,30
22,"If you are interested to know what happens inside a computer and the programming that helps it run, then this might be the right course for you.",16,content,29
22,This qualification builds upon skills and content primarily learnt during key stage 3 IT lessons.,14,transferrable,17
22,The course is made up of two components:,12,logistics,9
22,"Component 01: Computer systems Introduces students to the central processing unit (CPU), computer memory and storage, data representation, wired and wireless networks, network topologies, system security and system software.",4,content,38
22,"It also looks at ethical, legal, cultural and environmental concerns associated with computer science.",16,content,17
22,"Component 02: Computational thinking, algorithms and programming Students apply knowledge and understanding gained in component 01.",7,logistics,19
22,"They develop skills and understanding in computational thinking: algorithms, programming techniques, producing robust programs, computational logic and translators.",8,content,23
22,"Practical programming Students will be given the opportunity to undertake a programming task(s) during their course of study which allows them to develop their skills to design, write, test and refine programs using a high-level programming language.",20,content,45
22,"Students will be assessed on these skills during the written examinations, particularly in component 02 (section B).",9,logistics,21
22,The course is assessed by two written exams:,9,logistics,9
22,"Component 01: Computer Systems (1 hour 30 minutes written paper) No calculators allowed Component 02: Computational thinking, algorithms and programming (1 hour 30 minutes written paper) No calculators are allowed.",10,logistics,38
22,"This qualification can lead to A Level in Computer Science, vocational",23,motivation,12
22,IT qualifications and the following careers:,23,motivation,7
22,"Software Engineering, Computer Systems Analyst, Teacher, Computer Programming, Software Development and Web Development",2,motivation,17
23,ICT ICT has become a crucial part of our everyday lives.,18,motivation,13
23,"We are living in a world where technology is evolving rapidly, creating new subject areas to explore and changing the way people work in every area, from medicine and fashion to engineering and economics.",19,motivation,37
23,"So whatever your career plans, you know it’s vital to develop your grasp of these ideas and concepts that will shape your world.",14,transferrable,26
23,"ICT will help you think logically, solve puzzles and be tenacious when the going gets tough.",17,motivation,18
23,But it is also really creative and you’ll get a real buzz out of getting something to work yourself.,11,motivation,21
23,It’s no exaggeration to say the world runs on computers.,18,motivation,12
23,"They are everywhere: in homes, schools and offices but not just in the way you think.",2,motivation,19
23,They are also embedded in all sorts of machines.,4,content,10
23,"Computers control aeroplanes, chemical plants, send rockets to space, control the central heating and make sure your mum/dad’s car runs efficiently.",3,content,28
23,"As new things are developed, the world needs more and more people to research new ways of using computers to do the things they want.",18,motivation,27
23,ICT will provide you with a great foundation to take your passion for computing further to help you pursue a career in any of those areas mentioned,23,motivation,27
24,What will I be studying?,0,motivation,6
