Number ,School Name,School Type,Link to curriculum / options block document,Option block type,Notes,Completed?,SH/JRH notes,Any insights to note?
51,The Brooksbank School,Academies,Link,Free choice,"Pupils make three choices, and are encouraged to pick one subject from a list of Ebacc subjects but are not mandated to do so. ",No,No GCSE options info,
52,Egglescliffe School,Academies,Link,Mixed ,"Pathways system, in which every pathway is allowed to make 2 free choices. Some pathways are also made to do a language/humanities. ",Yes,,
53,St Andrew the Apostle Greek Orthodox School,Free Schools,Link,Mixed,Pupils make at least three optional choices. Does not offer CS. ,No,No GCSE options info,
54,Kirk Balk Academy,Academies,Link,Unknown,Pupils choose three optional subjects. Offers CS GCSE. ,Yes,,
55,Aston University Engineering Academy,Free Schools,Link,Mixed ,STEM focused college. Pupils are allowed one optional choice. ,1,No Computing info,
56,St Gregory's Catholic Science College,Academies,Link,Mixed ,"Depending on pathway, pupils have to pick a humanities and a language. ",Yes,,
57,Turner Free School,Free Schools,Link,Unknown,Can't find relevant info,1,No computing option,
58,Hall Mead School,Academies,Link,Unknown,Can't find relevant info,Yes,,
59,"St John Payne Catholic School, Chelmsford",LA maintained schools,Link,Free choice,Pupils get three totally free options.,Yes,,
60,Kempston Challenger Academy,Academies,Link,Free choice,Pupils have to take one Ebacc subject and then get a further 3 choices.,1,No computing option,
61,Hanham Woods Academy,Academies,Link,Unknown,Can't find relevant info,Yes,,
62,Woodkirk Academy,Academies,Link,Unknown,Pupils choose one Ebacc subject and then get a further two choices. ,No,No GCSE options info,
63,Dartford Science & Technology College,LA maintained schools,Link,Unknown,Free choice from 15 options (inc. CS). ,No,"GCSE options info for both but can't copy and paste from pdf (tried downloading, still couldn't highlight)",
64,"Davison Church of England High School for Girls, Worthing",LA maintained schools,Link,Mixed ,Higher ability pupils have to take a language plus two free choices. Other pupils get three free choices. ,Yes,,
65,Aureus School,Academies,Link,Free choice,Pupils are asked to rank their top 6 subjects. Option blocks are then designed after receiving this initial indication of subject preferences. ,Yes,,
66,Vale of York Academy,Academies,Link,Mixed ,"Pathway system, in which some pupils have to take an Ebacc subject. These pupils get 2 additional choices. All other pupils get 3 additional free choices. ",Yes,,
67,Prenton High School for Girls,Academies,Link,Mixed ,"Pupils have to take one humanity and then have a free choice thereafter. Depending on their ability, pupils take more/fewer optional subjects. ",Yes,,
68,Framingham Earl High School,Academies,Link,Fixed blocks,"Pupils have to pick one subject from each of four option blocks. CS is in one block, and blocked with Psychology (which is not in any other block!). ",Yes,,
69,Queen Mary's Grammar School,Academies,Link,Free choice,Pupils have to choose one language and then get 2 further free choices. ,Yes,,
70,Bishop Challoner Catholic Secondary School,LA maintained schools,Link,Free choice ,Pupils have total free choice.,Yes,,
71,Weavers Academy,Academies,Link,Fixed blocks,"Slightly unusual system. Pupils must pick one humanities subject. Then can choose one subject from block A, one from block B. If they pick one from both block A and block B then they can make no further choices. If they picked one from either block, they can pick one from block C. If none from A and B, they can pick 2 from C. CS blocked against Business & Enterprise and Food & Nutrition. ",1,No computing,
72,The Clarendon Academy,Academies,Link,Free choice,"Students make 4 choices. The booklet does reference that subjects will be put into blocks, but seems this happens after the initial preferences have been collected.",1,No computing,
73,Fulham College Boys' School,Academies,Link,Free choice,"Unclear. Document suggests that pupils make a free choice, but then says that subjects will be arranged in blocks: ""Students choose three subjects as optional subjects from the list below. GCSE optional subjects are arranged in option blocks and whilst we naturally attempt to satisfy the desired combination of courses chosen by each individual students, we are not able to guarantee that every combination can be made available."" ",Yes,,
74,Caludon Castle School,Academies,Link,Mixed ,"Pupils are expected to choose one humanity, one language and then get a further 3 choices. ",Yes,,
75,Hugh Christie School,LA maintained schools,Link,Unknown ,Unclear which system is being used. ,1,No computing option,
76,St Peter's CofE Academy,Academies,Link,Unknown ,"Pupils can make 3 choices. Booklet says that these are organised into blocks, but not clear what these blocks look like/whether it is free choice. ",Yes,,
77,St Mary's Catholic School,LA maintained schools,Link,Unknown,This document suggests that the optional subjects are organised into option blocks. Not clear what these blocks look like though. ,Yes,,
78,UTC South Durham,Free Schools,Link,Unknown ,,Yes,,
79,Preston Muslim Girls High School,LA maintained schools,Link,Mixed ,"Pupils have to take a language and a humanity. Then get one further option from 5 subjects (includes CS as well as subjects like Art, Health & Social Care etc). Definitely a tension between CS and other subjects! ",Yes,,
80,Grays Convent High School,LA maintained schools,Link,Mixed ,Pathways system with some pupils having to take a langauge/humanities and then getting two further options. Lower-attaining pupils get 4 choices. ,Yes,,
81,The Harvey Grammar School,Academies,Link,Mixed,Must pick humanity and langauge. 2 further options. ,1,No computing option,
82,Stantonbury Campus,Academies,Link,Free choice,"Pupils need to pick one subject from each of four columns. Each block is very large though, and looks as though almost all subjects are repeated, so not clear if choices are limited. ",No,No booklet available to copy and past text from. Booklet (can't copy),
83,Holyrood Academy,Academies,Link,Unknown ,,No,Only vidoes available,
84,Weaverham High School,LA maintained schools,Link,Unknown ,,Yes,,
85,Hull Trinity House Academy,Academies,Link,Unknown ,,1,No computing option,
86,Shoeburyness High School,Academies,Link,Fixed blocks,Pupils have to pick one subject from four blocks. Each block is quite wide though. ,Yes,,
87,Sandwich Technology School,Academies,Link,Unknown,Looks like the school is currently updating their options process. ,Yes,,
88,Heritage High School,Academies,Link,Fixed blocks,"Pupils have to pick one subject from each of four blocks. CS is listed in one block and is up against History, Georgraphy and French. ",Yes,,
89,Halewood Academy,Academies,Link,Unknown ,,Yes,,
90,Archbishop Blanch School,LA maintained schools,Link,Unknown ,,Yes,,
91,Haybridge High School and Sixth Form,Academies,Link,Mixed,Pupils pick a language and a humanity and then two further subjects. ,No,None of the links on the webiste are currenlty live,
92,Impington Village College,Academies,Link,Mixed,Pupils pick a language and a humanity and then two further subjects. ,Yes,,
93,The Watford UTC,Free Schools,Link,Mixed,Pupils have to take one choice from an optional block and then get one further choice. All students have to take Computer Science GCSE as a compulsory option. ,1,No geography option,
94,St Edmund's Girls' School,Academies,Link,Free choice,"Pupils have to pick one subject from the Ebacc block and then get two further free choices. Interestingly, CS is only in the Ebacc block and not in the optional subject blocks. ",Yes,,
95,St Thomas More Roman Catholic Academy,Academies,Link,Free choice,Pupils pick one Ebacc subject and then three others. ,1,No computing option,
96,Abbeywood Community School,Academies,Link,Free choice,Pupils get 3 free choices. ,No,Not possible to paste the text in the booklet,
97,St Cuthbert Mayne School,LA maintained schools,Link,Free choice,No CS option,No,,
98,Yesodey Hatorah Senior Girls School,LA maintained schools,Link,Unknown ,,No,Curriculum only,
99,Thomas Estley Community College,Academies,Link,Mixed ,Pupils pick a language and a humanity and then two further subjects.,Yes ,,
100,Barclay School,LA maintained schools,Link,Unknown ,No,No,,
101,St Saviour's and St Olave's Church of England School,LA maintained schools,Link,Unknown ,No,No,,
102,Da Vinci Academy,Academies,Link,Unknown,Pupils have to pick one subject from an Ebacc block and then make three other choices (picking one subject from each of three blocks). Does not offer CS. ,Yes ,,
103,Sir John Thursby Community College,LA maintained schools,Link,Unknown ,,Yes ,,
104,Durham Sixth Form Centre,LA maintained schools,Link,Unknown,Sixth Form college so N/A. ,No,,
105,Lutterworth High School,Academies,Link,Free choice,Pupils have to pick a humanity and then get to freely rank their other choices. ,Yes ,,
106,The Ongar Academy,Free Schools,Link,Unknown,Pupils have to pick one subject from an Ebacc block (where CS sits) and then make three further choices from fixed option blocks. ,Yes ,,
107,Miltoncross Academy,Academies,Link,Free choice,Pupils have to pick a humanity and then get to freely choose their remaining subjects. ,No,,
108,Dyson Perrins CofE Academy,Academies,Link,Free choice,Pupils pick one subject from a list of Ebacc subjects and then get 3 further free choices. ,No,,
109,Bordesley Green Girls' School & Sixth Form,LA maintained schools,Link,Mixed,"Pupils get 2 choices, but not clear how the options are structured. ",No,School website was down when access 18/02,
110,Saint Thomas More Language College,LA maintained schools,Link,Free choice,Pupils have to choose a language and then 2 further free choices. ,No,,
111,The Park Community School,LA maintained schools,Link,Mixed,Pupils have to take Ebacc subjects. Get one totally free choice. CS is counted in the EBacc columns. ,Yes ,,
112,Furness Academy,Academies,Link,Free choice,Pupils have to rank their top subjects from a longlist. ,Yes ,,
113,North Durham Academy,Academies,Link,Unknown ,No,No,,
114,St Benedict's Catholic High School,LA maintained schools,Link,Mixed ,Pathways system in which pupils get varying amounts of choice. Some pupils pushed towards doing EBacc and get fewer totally free choices. ,No,,
115,Settlebeck School,Academies,Link,Unknown ,,Yes ,,
116,Landau Forte College,Academies,Link,Mixed ,Pupils have to pick 2 subjects from Ebacc subjects. They then get a further 2 choices. ,No,,
117,Upper Wharfedale School,LA maintained schools,Link,Fixed blocks,Pupils have to pick from 4 options blocks and are also forced to take one EBacc subject. ,No,,
118,Melksham Oak Community School,Academies,Link,Mixed,Pathways system. Pupils on academic pathway must choose one EBacc subject and then get 2 further choices. ,Yes ,,
119,Heanor Gate Science College,Academies,Link,Mixed,Pupils have to take a humanity and some have to take a language too. ,No,,
120,Hadlow Rural Community School,Free Schools,Link,Unknown,Not enough info to say,No,,
121,Fulston Manor School,Academies,Link,Free choice,1 Ebacc subject + 3 free choices,Yes ,,
122,Hadley Learning Community - Secondary Phase,Academies,Link,Unknown,Not enough info to say,No,Curriculum only,
123,The West Bridgford School,Academies,Link,Unknown,Not enough info to say,1,"Description for CS only, no info on geography",
124,Shelley College,Academies,Link,Mixed,"3 path pathway system; min 2 free choices per pathway inc. Computer Science. Some pupils have mandatory language + humanity, some mandatory Ebacc. ",Yes ,,
125,The Queen Katherine School,Academies,Link,Free choice,"1 mandatory Ebacc subject + 3 free choices, inc. Computer Science. Strongly recommended but not enforced humanity + language. ",Yes ,,
126,Kesteven and Grantham Girls' School,Academies,Link,Unknown,Not enough info to say,No,,
127,Glossopdale School,LA maintained schools,Link,Free choice,"Mandatory Ebacc subject + 2 free choices, inc. Computer Science. ",Yes ,,
128,Claremont High School,Academies,Link,Mixed,"Mandatory humanity + language + 2 free choices inc. Computing. To do Computing, pupils have to be predicted a 5+ grade in Maths",Yes ,,
129,Sandhurst School,LA maintained schools,Link,Free choice,Mandatory Ebacc subject (inc. Computer Science) + 3 free choices,No,,
130,Ark William Parker Academy,Academies,n/a,Unknown,Has since merged with another school into Ark Alexandra Academy. Can't find options info,No,,
131,King's Norton Boys' School,LA maintained schools,Link,Mixed,2 pathway system; min 2 free choices including Computer Science per pathway,Yes ,,
132,Sutton Community Academy,Academies,Link,Fixed blocks,1 choice per block from 4 fixed blocks; Computer Science appears in 1 block. ,No,It mentioned CS as an option but no info available ,
133,Balaam Wood School,LA maintained schools,Link,Unknown,Can't find enough info,No,,
134,Lister Community School,LA maintained schools,Link,Mixed,"3 choices: language, humanity, 1 free choice inc. Computer Science. Looks like language + humanity are recommended but not enforced; still classing this system as mixed. ",No,Curriculum info only,
135,UTC Oxfordshire,Free Schools,Link,Fixed blocks,UTC so involves a specialist option; otherwise 2 free choices inc. Computer Science. ,No,Curriculum info only,
136,Wyedean School and 6th Form Centre,Academies,Link,Mixed,choice of 4 options; 2 Ebacc subjects + 2 totally free choice. Classing this as free choice but borderline case. ,Yes ,,
137,The Compton School,Academies,Link,Free choice,"Mandatory humanity + 3 free choices, inc. Computer Science",Yes ,,
138,Carisbrooke College,LA maintained schools,Link,Mixed,Mixed pathway system; academic pathway = mandatory language + humanity + 2 free choices; less academic pathway = mandatory humanity or computing + 3 free choices. ,No,"On 16 March 2022, this page will be updated with the 2022 Options Booklet and an information video for each subject. Please check back here on 16 March.",
139,West Exe School,Academies,Link,Free choice,"Mandatory humanity + 2 free choices, inc. Computer Science. ",Yes ,,
140,Wilson's School,Academies,Link,Free choice,"Mandatory language + 3 free choices, no Computer Science. ",No,,
141,The Thomas Alleyne School,Academies,Link,Free choice,"4 options; mandatory Ebacc and 3 completely free choices, inc. Computer Science. ",Yes ,,
142,Wolgarston High School,Academies,Link,Mixed,Mandatory language + humanity + free chocies (but not clear how many). Offers Computer Science,Yes ,,
143,Manchester Academy,Academies,Link,Unknown,3 options but the website implies quite strong guidance / restrictions on choice depending on attainment,No,,
144,Perins School,Academies,Link,Mixed,"Complicated sytem. Pupils choose 6 subjects at Y9, including mandatory humanity, language, 2 subjects from fixed blocks and 2 free choices, then drop 1 subject. Will consider this 2 free choices. ",Yes ,,
145,Causeway School,LA maintained schools,n/a,Unknown,Can't find enough info,No,,
146,St Andrew's Catholic School,LA maintained schools,n/a,Unknown,Can't find enough info,No,,
147,The Appleton School,Academies,n/a,Unknown,Can't find enough info,Yes ,,
148,"The County High School, Leftwich",Academies,Link,Mixed,"Mandatory humanity + 2 free choices, inc. Computer Science. ",Yes ,,
149,Blackburn Central High School,LA maintained schools,Link,Unknown,Can't find enough info,No,,
150,Budehaven Community School,LA maintained schools,Link,Free choice,"4 free choices, inc. Computer Science. Ebacc recommended but doesn't seem to be compulsory. ",Yes ,,
151,The Brakenhale School,Academies,Link,Mixed,4-pathway system; very complicated. 2 pathways get 2 free choices; 2 get 3. But accessible subjects vary by pathway; only 1 pathway gets to be able to do computer science. ,Yes ,,
152,"St Mary's Catholic High School, A Catholic Voluntary Academy",Academies,n/a,Unknown,"Can't find school, let alone info",Yes ,,
153,The Rural Enterprise Academy,Free Schools,Link,Fixed blocks,3 x free block system; agricultural school so unusual combinations. ,No,,
154,The Ripley Academy,Academies,Link,Mixed,"Mandatory humanity + language + 2 free choices, inc. Computer Science. ",No,Info all on videos,
155,Blessed Thomas Holford Catholic College.,LA maintained schools,Link,Free choice,"Mandatory Ebacc subject + 2 free choices, no Computer Science. ",No,Info all on videos,
156,Bridgemary School,Academies,Link,Free choice,"Mandatory humanity + 3 free choices, no Computer Science",No,,
157,Keswick School,Academies,Link,Mixed,2 pathway system; more academic pathway = mandatory humanity + 3 sciences + mandatory language + 1 free choice; less academic pathway = mandatory humanity + 3 free choices. Offers computer science. ,Yes ,,
158,The Bulmershe School,LA maintained schools,Link,Unknown,Booklet doesn't say how many choices there are!,Yes ,,
159,Pinner High School,Free Schools,Link,Fixed blocks,"Mandatory humanity + language + 2 choices from fixed blocks. That said, there is so much overlap between the blocks I don't feel particularly sure fixed blocks is the right framework for this. ",No,,
160,Haslingden High School and Sixth Form,LA maintained schools,Link,Free choice,Mandatory Ebac subject (inc. Computer Science) + 2 free choices,No,,
161,Brookfield Academy Trust,Academies,Link,Free choice,"Mandatory humanity + 3 free choices, inc. Computer Science",Yes ,Videos,
162,Bishop Douglass School Finchley,Academies,Link,Unknown,No,No,Curriculum rather than GCSE options only,
163,Shoreham Academy,Academies,Link,Unknown,"Not a booklet, curriculum overview with info on what subject looks like at key stage 4",Yes ,,
164,City of London Academy (Southwark),Academies,Link,Unknown,Students have to choose one between History and Geography ,Yes ,,
165,Lancaster Royal Grammar School,Academies,Link,Free choice,"7 choices!! These turn out to include min 2 sciences and a mandatory language, but still 4 free choices inc. Computer Science. ",Yes ,,Pictures for both subjects all boys / used to be an all boys school
166,Sarah Bonnell School,Academies,Link,Mixed,"Quite restrictive 3-path pathway system, min 1 free choice per path. ",Yes ,,
167,Deyes High School,Academies,Link,Mixed,"Mixed pathway system with 2 paths, but both get 2 free choices",Yes ,,
168,Great Yarmouth Charter Academy,Free Schools,Link,Fixed blocks,"Fixed block system but a lot of overlap between the blocks, to the point it might actually be free choice. No Computer Science. ",No,Can't find info - I think you need to email them?,
169,King Charles I School,Academies,Link,Mixed,Mandatory humanity + language + 2 free choices,Yes ,,
170,Saint Pius X Catholic High School A Specialist School in Humanities,LA maintained schools,n/a,Unknown,Can't find info,No,,
171,Wymondham College,Academies,Link,Mixed,"Mandatory language + mandatory humanity + 2 free choices, inc. Computer Science",Yes ,,
172,The Bourne Academy,Academies,Link,Mixed,3 pathway system; pupils get either 2 or 3 free choices depending on pathway. No computer science,Yes ,No computer science,
174,Coombe Dean School,Academies,Link,Fixed blocks,"Pathways system, but both pathways choose 3 subjects from 3 fixed blocks. Does offer Computer Science",Yes ,,
175,Francis Combe Academy,Academies,n/a,Unknown,Need log-in,No,,
176,Dixons Unity Academy,Academies,Link,Unknown,Very detailed ,Yes ,,
177,Finham Park School,Academies,Link,Mixed,Mandatory language + humanity + 2 free choices,Yes ,No info on geography,
179,The Cavendish School,LA maintained schools,Link,Unknown,Can't find info,No,,
180,Claydon High School,Academies,Link,Unknown,No info on curriculum page,No,,
181,The Willink School,LA maintained schools,Link,Mixed,Mandatory language + humanity + 2 free choices,No,,
182,Aldworth School,LA maintained schools,Link,Fixed blocks,"Seems to be a heterogenous fixed blocks system, with subjects repeated in multiple blocks. Computer science features in an Ebacc block but nowhere else. ",Yes ,,
183,Holsworthy Community College,Academies,Link,Fixed blocks,Pathway system with 2 paths. Ebacc path get core subjects + language or humanity + 2 choices from themed blocks; non-Ebacc get core subjects + language or humanity + 3 choices from themed blocks.  ,Yes ,,
184,The Friary School,LA maintained schools,Link,Unknown,"Not clear from website - includes info on the subjects available, but not the options system. ",No,,
185,Sale High School,LA maintained schools,Link,Mixed,"Mixed pathway system, with 2 paths: Ebacc and 'Performance'. Ebacc pupils take core curriculum + mandatory humanity + 1 free choice; Performance take core curriculum + mandatory Ebacc subject + 2 free choices. ",No,No,
186,Alcester Grammar School,Academies,Link,Mixed,Core curriculum + mandatory humanity + mandatory language + 2 free choices (inc. Computer Science),Yes ,,
187,Goffs - Churchgate Academy,Academies,Link,Unknown,Not clear - seems to be v small school so free choice doesn't look very likely.,No,,
188,Clacton County High School,Academies,Link,Mixed,"Seems to be a pathway-based, largely free choice system. Pupils take core curriculum + 'at least 2' free choices depending on the suggested pathway (inc. Computer Science)",Yes ,,
189,St Gabriel's RC High School,LA maintained schools,Link,Free choice,"Mostly free choice, but mandatory humanity. Pupils put down 4 preferences in order and get 3. ",Yes ,,
190,Henley In Arden School,Academies,Link,Unknown,Not totally clear - seems to be 4 fixed blocks but don't feel confident enough from the wording to categorise. ,No,No computer science,
191,Harris Girls Academy Bromley,Academies,Link,Unknown,"""Students are required to choose an additional 3 subjects, information on these subjects can be found throughout this booklet. These subjects will be blocked and students will need to select one subject from each block."" Doesn't specify composition of blocks but I think this is enough to say it's a fixed block school. ",Yes ,East Dulwich not Bromley,
192,NCEA Duke's Secondary School,Academies,Link,Fixed blocks,3 heterogenous option blocks. No computer science,No,,
193,Kingsbury High School,Academies,Link,Mixed,Pathway system with largely mandatory subjects + 1 free option per pathway. ,Yes ,,
194,Heckmondwike Grammar School,Academies,Link,Free choice,"Seems to be mandatory core curriculum + 4 free subject choices + 1 backup, including Computer science. ",Yes ,,
195,Norbury Manor Business and Enterprise College for Girls,Academies,Link,Fixed blocks,"3 choices from heterogenous option blocks. Computing only in one block with Citizenshep, DEC, Geography, French, History, PE, Textiles",No,PDF - can't copy,
196,Chantry Academy,Academies,Link,Free choice,1 mandatory humanity and 2 free choices. No computer science. ,No,No computer science,
197,The Judd School,LA maintained schools,Link,Mixed,"Complicated system but amounts to mandatory humanity, mandatory language, mandatory creative subject and 1 free choice",Yes ,,
198,CHS South,Free Schools,Link,Mixed,"Mixed pathway system, quite complex but seems to be 1 humanity, 1 arts, 1 language and 1 free choice",Yes ,,
199,Whitmore High School,LA maintained schools,Link,Mixed,"Core curriculum + mandatory humanity, mandatory language, mandatory creative and then 2 free choices (12 in total!)",No,Website not loading,
200,Cirencester Deer Park School,Academies,Link,Fixed blocks,Pupils choose 4 subjects from 4 fixed blocks - 1 preference and 1 reserve. Computer Science only appears in 1 block,Yes ,,
201,Cansfield High School,LA maintained schools,Link,Mixed,1 mandatory choice from an 'enrichment' block (i.e. creative subjects) and the rest free choices. But annoyingly it doesn't say how many. ,No,Info not online,
202,"St Augustine's Roman Catholic School, Scarborough",LA maintained schools,Link,Free choice,"Mandatory humanity and the rest free choices in order of preference, inc. Computer Science. But doesn't say how many options",Yes ,,
